Timeframe,Week of, 2019 counts (14 counters), 2020 counts (14 counters),Change 2019-2020
Week 1,12/30/2020,68957,93654,36%
Week 2,1/6/2020,34778,46964,35%
Week 3,1/13/2020,32065,38302,19%
Week 4,1/20/2020,35016,41506,19%
Week 5,1/27/2020,33627,46335,38%
Week 6,2/3/2020,35217,67437,91%
Week 7,2/10/2020,32171,50846,58%
Week 8,2/17/2020,36288,69353,91%
Week 9,2/24/2020,44410,64508,45%
Week 10,3/2/2020,65887,64326,-2%
Week 11,3/9/2020,23076,85501,271%
Week 12,3/16/2020,30298,117152,287%
Week 13,3/23/2020,68805,106175,54%
Week 14,3/30/2020,62779,113005,80%
Week 15,4/6/2020,83893,107420,28%
Week 16,4/13/2020,71677,122291,71%
Week 17,4/20/2020,87834,106246,21%
Week 18,4/27/2020,88284,109459,24%
Week 19,5/4/2020,94980,109391,15%
Week 20,5/11/2020,100251,119716,19%
Week 21,5/18/2020,179060,106249,-41%
Week 22,5/25/2020,132357,111028,-16%
Week 23,6/1/2020,97451,115580,19%
Week 24,6/8/2020,94747,122561,29%
Week 25,6/15/2020,87304,105924,21%
Week 26,6/22/2020,84230,97094,15%
Week 27,6/29/2020,68866,80405,17%
Week 28,7/6/2020,69626,87187,25%
Week 29,7/13/2020,64104,94974,48%
Week 30,7/20/2020,85786,83103,-3%
Week 31,7/27/2020,81182,88592,9%
Week 32,8/3/2020,71150,93785,32%
Week 33,8/10/2020,90778,84000,-7%
Week 34,8/17/2020,61826,86466,40%
Week 35,8/24/2020,69618,72144,4%
Week 36,8/31/2020,73657,85100,16%
Week 37,9/7/2020,64835,73695,14%
Week 38,9/14/2020,56589,75856,34%
Week 39,9/21/2020,51308,81451,59%
Week 40,9/28/2020,57862,75523,31%
Week 41,10/5/2020,59866,74958,25%
Week 42,10/12/2020,50785,66941,32%
Week 43,10/19/2020,50692,66721,32%
Week 44,10/26/2020,54306,95193,75%
Week 45,11/2/2020,58888,61197,4%
Week 46,11/9/2020,46887,96682,106%
